<<<<<<< HEAD
=======
0x10000000 82
0x10000001 105
0x10000002 115
0x10000003 104
0x10000004 97
0x10000005 98
0x10000006 104
0x10000007 32
0x10000008 65
0x10000009 103
0x1000000a 97
0x1000000b 114
0x1000000c 119
0x1000000d 97
0x1000000e 108
0x1000000f 190
0x10000010 122
0x10000011 25
0x10000012 27
0x10000013 0
0x10000014 0
0x10000015 0
0x10000016 0
0x10000017 0
0x10000018 0
0x10000019 0
0x1000001a 0
0x1000001b 0
0x1000001c 0
0x1000001d 0
0x1000001e 0
0x1000001f 0
0x10000020 0
0x10000021 0
>>>>>>> 8c39554e898241cf5938b5afeac1869da4ad8c51
